Task No,Dev,Day,What,How,Status,Notes
1.2.3,Dev1,Day 2,Build GradeBadge.jsx component,"Create src/components/GradeBadge.jsx. Props: grade. Returns a <span> pill with text and background color based on grade. A+=bg-emerald-100 text-emerald-800. A=bg-green-100 text-green-800. B=bg-yellow-100 text-yellow-800. C=bg-orange-100 text-orange-800. D=bg-red-100 text-red-800. F=bg-red-200 text-red-900.",TODO,Used in ProductCard HealthCard and Seller Dashboard
1.2.4,Dev1,Day 2,Build ProductDetail page — image gallery + price section,"In ProductDetail.jsx: Fetch GET /api/marketplace/:id?user_id=X on mount. Left column: main image + thumbnail strip. Right column: product name grade brand condition label. Price section: MRP crossed out → ReLoop price → shipping breakdown. CostBreakdown component showing transfer + last mile separately. HealthCard component below. Buy Now button.",TODO,Use useParams() from react-router-dom to get :id
1.2.5,Dev1,Day 2,Build HealthCard.jsx component,"Create src/components/HealthCard.jsx. Props: grading. White rounded-xl border border-gray-200 p-6. Header 'Product Health Card' with shield icon. Grade score as a circular progress or just a large number out of 100. Confidence % in small text. conditionSummary paragraph. Defects list — if defectsFound is empty show green checkmark 'No defects found'. Missing parts section if any. functionalNotes section.",TODO,All data comes from the grading object returned by the API
1.2.6,Dev1,Day 2,Build CostBreakdown.jsx component,"Create src/components/CostBreakdown.jsx. Props: transferCost lastMile totalShipping sellingPrice mrp. Renders a breakdown table: Original MRP (crossed) → ReLoop Price → DC Transfer cost → Last Mile cost → Total You Pay. Each row left-aligned label right-aligned amount. Total row in bold border-t.",TODO,Used in ProductDetail and also shown in Return Flow
1.2.7,Dev1,Day 2,Add user switching to Marketplace — re-fetch on user change,"In Marketplace.jsx: use useEffect with [currentUser] as dependency so products re-fetch when user changes in Navbar. Show a subtle toast or banner 'Showing prices for [City]' when user switches. Shipping costs should visibly change for items coming from distant DCs.",TODO,This is a key demo moment — switching from Mumbai to Kolkata changes shipping shown on cards
1.2.8,Dev1,Day 2,Download + place placeholder product images in frontend/public/images/,"Download or generate placeholder product images for all 27 products. Name them exactly as imageUrl field in seed data (bata_shoes.jpg samsung_m34.jpg etc). Place in frontend/public/images/. If no real image use a colored placeholder with product name using a service like via.placeholder.com or generate with AI.",TODO,Image filenames must match exactly what is in the seed data imageUrl field
2.2.1,Dev2,Day 2,Implement GET /api/marketplace?user_id= endpoint,"In src/routes/marketplace.js: fetch all InventoryItems where status=AVAILABLE. Include product currentDc. Fetch buyer's nearestDcId. Fetch all dc_routes. For each item call calculateDeliveryCost(item.currentDcId buyer.nearestDcId routes). Call calculateViability(product.mrp grading.gradeDiscountPct totalShipping). Filter out items where viable=false. Add isNearYou flag. Return sorted array.",TODO,This is the most complex API — test with multiple user_id values to verify different pricing
2.2.2,Dev2,Day 2,Implement GET /api/marketplace/:id?user_id= endpoint,"In src/routes/marketplace.js add router.get('/:id'). Fetch single InventoryItem with includes: product currentDc grading return. Fetch buyer user and routes. Calculate per-buyer cost breakdown. Return item with full grading health card data plus per-buyer pricing breakdown object.",TODO,Must include grading object — HealthCard component depends on it
2.2.3,Dev2,Day 2,Implement GET /api/orders?user_id= endpoint,"In src/routes/orders.js: fetch all Orders where userId=user_id. Include product. Add outgrownEligible flag: true if status=DELIVERED and no Return record exists for that order. Return sorted by orderedAt desc.",TODO,outgrownEligible flag powers the Outgrown It page — critical for Rahul demo
2.2.4,Dev2,Day 2,Write src/lib/costing.js with calculateDeliveryCost and calculateViability,"Create src/lib/costing.js. calculateDeliveryCost(sourceDcId destDcId dcRoutes): find route in array return {transferCost lastMile totalShipping estimatedDays}. Default to transferCost=50 if no route found. calculateViability(mrp gradeDiscountPct shippingCost): compute sellingPrice as mrp*(1-discountPct/100) totalCost as HANDLING_TOTAL+shippingCost+MIN_MARGIN profit=sellingPrice-totalCost return {viable sellingPrice totalCost profit}.",TODO,Import COSTS from constants.js — do not hardcode values
2.2.5,Dev2,Day 2,Test Marketplace API with Postman or curl for 3 different users,"Run: curl 'http://localhost:5000/api/marketplace?user_id=user-003' (Vikram Mumbai). Then user-006 (Sneha Kolkata). Then user-009 (Priya Jaipur). Verify: different shipping costs appear. Rs.99 pop socket NOT returned for anyone (non-viable). Allen Solly isNearYou=true for Vikram (both at MUM1).",TODO,Screenshot the 3 different responses as evidence for demo
3.2.1,Dev3,Day 2,Complete seed.js — all 18 returns with correct statuses,"In seed.js add createMany for 18 returns. ret-001 through ret-015 from demo_blueprint.md at various statuses (LISTED ROUTED RECEIVED_AT_DC SOLD). Add ret-016 (Priya shoes) status=INITIATED currentDcId=null (not picked up yet — interception triggers here). ret-017 (Spigen case) status=LISTED. ret-018 (Pop Socket) status=ROUTED route=DONATE.",TODO,ret-013 and ret-014 must be RECEIVED_AT_DC with NO grading record — these are the live demo items
3.2.2,Dev3,Day 2,Complete seed.js — all 13 AI gradings,"In seed.js add creates for 13 AiGrading records. grade-001 through grade-012 from demo_blueprint.md. Add grade-017 for Spigen case (A+ 99 RESELL). Add grade-018 for Pop Socket (A DONATE — route DONATE because Rs79 < Rs147 cost). Do NOT add grading for ret-013 (boAt earbuds) or ret-014 (Atomic Habits) — these are graded live in demo.",TODO,grade_discount_pct must match GRADE_CONFIG values — A=20 A+=10 B=35
3.2.3,Dev3,Day 2,Complete seed.js — inventory items + marketplace order + green credits,"Add 8 InventoryItems (inv-001 through inv-007 plus inv-008 for Spigen case). Add marketplace_order mp-ord-001 (Karthik bought Sony headphones). Add GradeConfig table entries for A+ A B C D F. Add green_credits_ledger entry for Karthik. Set prisma seed script in package.json and run npx prisma db seed.",TODO,Verify seed completes without errors. Run npx prisma studio to visually confirm all data
3.2.4,Dev3,Day 2,Write src/lib/routing.js with decideRoute function,"Create src/lib/routing.js. Function decideRoute(grade mrp sellingPrice totalCost hasLocalBuyers): Evaluate RESELL viability (sellingPrice > totalCost AND grade in A/A+/B AND mrp >= minMrp). Evaluate REFURBISH if grade B or C. Evaluate DONATE if not viable and grade not F. Evaluate RECYCLE if grade F or safety hazard. Return {chosenRoute reason alternatives:[{route viable reason sellingPrice totalCost profit}]} for all 4 routes.",TODO,alternatives array powers the route comparison shown in Return Flow page
3.2.5,Dev3,Day 2,Test seed data in Prisma Studio,"Run npx prisma studio. Navigate to each table. Verify: 27 products 14 users 6 DCs 36 routes 19 orders 18 returns 13 gradings 8 inventory items. Check Priya user-009 has nearestDcId=dc-jai-001. Check ret-013 has no grading record. Check Pop Socket grade-018 has routeDecision=DONATE.",TODO,Take a screenshot of Prisma Studio as reference during demo
1.3.1,Dev1,Day 3,Build ReturnFlow page — 6-step wizard with StepIndicator,"In ReturnFlow.jsx: Use useState for currentStep (1-6). Create StepIndicator component showing step numbers with active/completed styling. Step 1: fetch user orders filtered to DELIVERED status — show list with product name image price — user clicks one to select. Step 2: Return reason radio buttons (SIZE_FIT CHANGED_MIND QUALITY NOT_AS_DESCRIBED DEFECTIVE). Step 3: Auto-redirect to /return/intercept/:orderId if item is interception-eligible.",TODO,Pass selected order and reason as URL params or state to ReturnInterception page
1.3.2,Dev1,Day 3,Build ReturnFlow Step 4 — Image upload section,"Step 4 in ReturnFlow: Show ImageUpload component. Instructions: 'Upload 2-5 clear photos of the product'. Below upload area show preview thumbnails with X buttons to remove. Next button disabled until at least 2 images uploaded. Store images as File objects in component state.",TODO,Images are sent to POST /api/grading as multipart form data
1.3.3,Dev1,Day 3,Build ImageUpload.jsx drag-and-drop component,"Create src/components/ImageUpload.jsx. Drag-and-drop zone with dashed border — ondragover highlight with blue border. Also show Browse Files button using hidden file input. Accept image/* only. Max 5 files 5MB each — show error if exceeded. On file add call onFilesChange prop callback. Preview thumbnails in a horizontal strip with remove buttons.",TODO,Use URL.createObjectURL() for preview thumbnails without uploading yet
1.3.4,Dev1,Day 3,Build ReturnFlow Step 5 — AI grading live animation + result display,"Step 5: On Next from Step 4 immediately call POST /api/grading with FormData. While waiting show animated spinner with text 'AI analyzing your product... This takes about 2 seconds'. On response reveal grade with a card animation. Show: grade letter score/100 confidence % conditionSummary defects found. Use CSS animation for the grade reveal (scale from 0 to 1).",TODO,This is the WOW moment of the demo — animation must be smooth and impressive
1.3.5,Dev1,Day 3,Build ReturnFlow Step 6 — Route decision with alternatives,"Step 6: After grading show route decision. Main recommendation card (RESELL/REFURBISH/DONATE/RECYCLE) with icon and explanation. Below show 4 alternative route cards each showing: route name viable/not-viable sellingPrice totalCost profit. Non-viable routes shown in gray with X icon and reason ('Selling price Rs79 < minimum cost Rs147'). Add RouteVisualization component showing DC journey on map.",TODO,alternatives array comes from the routing API response
1.3.6,Dev1,Day 3,Build RouteVisualization.jsx component,"Create src/components/RouteVisualization.jsx. Props: sourceDcCity destDcCity transferCost lastMile totalShipping. Shows a horizontal flow: [Source DC City] --transfer Rs.X--> [Dest DC City] --last mile Rs.65--> [Customer]. Use Tailwind flex and border-dotted styling. Show distance and estimated days below each arrow.",TODO,Keep it simple — no actual map library needed. Text-based flow diagram is fine
1.3.7,Dev1,Day 3,Build ReturnInterception page — 3-option cards,"In ReturnInterception.jsx: Fetch order details from URL param. Show product name and image at top. Show 3 option cards stacked: STANDARD RETURN (Rs.499 7-10 days no credits gray border). EXPRESS RETURN + DONATE (Rs.499 instant + 100 credits recommended green border). RETURN & RESELL ON RELOOP (Rs.499 instant + 50 credits + demand signal blue border). On Select POST /api/returns/:id/method then redirect to /returns.",TODO,"recommendedOption: DONATE if item is cheap (mrp < Rs.500) RESELL if multiple local buyers found. Show 'X buyers near [City] want this!' only for RESELL option"
1.3.8,Dev1,Day 3,Build StepIndicator.jsx component,"Create src/components/StepIndicator.jsx. Props: totalSteps currentStep labels. Renders horizontal row of numbered circles connected by lines. Completed steps show check icon in green. Current step shows number in filled blue. Future steps show number in gray outline. Labels below each circle in small text.",TODO,Used only in ReturnFlow page
2.3.1,Dev2,Day 3,Implement POST /api/returns endpoint,"In src/routes/returns.js: Validate orderId userId reason in body. Check if order exists and belongs to user. Create Return record with status=INITIATED. Query DB to check interception eligibility: count inventory items at user's nearestDc in same category AND selling price < product MRP*0.8. Return {returnId interceptionEligible localBuyerCount suggestedRoute}.",TODO,interceptEligible=true triggers redirect to ReturnInterception page in frontend
2.3.2,Dev2,Day 3,Implement POST /api/returns/:id/method endpoint,"In returns.js: Validate returnId and method (STANDARD|EXPRESS_DONATE|RELOOP_RESELL). Update Return record: set returnMethod. If EXPRESS_DONATE or RELOOP_RESELL set status=INITIATED and refund_amount stays same. Award green credits: RELOOP_RESELL=50 EXPRESS_DONATE=100 STANDARD=0. Insert into green_credits_ledger. Return updated return record.",TODO,Green credits award must also update users.greenCredits field
2.3.3,Dev2,Day 3,Implement POST /api/grading endpoint with multer + file handling,"In src/routes/grading.js: Use multer({storage:memoryStorage()}) middleware. Accept up to 5 files in 'images' field. For each file convert buffer to base64. Call gradeProduct() from lib/gemini.js. Upload each image to S3 using uploadToS3(). Save AiGrading to DB. Call decideRoute() from lib/routing.js. Update Return status to GRADED. Return {grading routing}.",TODO,multer memoryStorage keeps files in RAM — not disk — so we can pass buffer directly to S3
2.3.4,Dev2,Day 3,Implement GET /api/returns?user_id= endpoint,"In returns.js: fetch all Returns where userId=user_id. Include order product currentDc grading. Sort by createdAt desc. Return array. Also add GET /api/returns/:id that returns single return with all includes for the My Returns detail view.",TODO,My Returns page uses this to show status timeline
2.3.5,Dev2,Day 3,Test full return + grading flow end to end,"Use Postman: POST /api/returns with valid orderId userId reason. Note returnId. Then POST /api/grading with returnId + 2 real product photos as multipart. Verify Gemini response is valid JSON with grade score etc. Verify S3 image URLs are returned. Verify AiGrading record saved in DB.",TODO,If Gemini quota hit (15 RPM) wait 4 seconds between requests during testing
3.3.1,Dev3,Day 3,Implement src/lib/gemini.js — full Gemini API wrapper,"Create src/lib/gemini.js. Import GoogleGenerativeAI from @google/generative-ai. Init with GEMINI_API_KEY env var. Export async gradeProduct(images category returnReason productName mrp). Build prompt from implementation_plan.md exactly. Map images array to inlineData parts. Call model.generateContent. Strip markdown code fences from response. JSON.parse and return.",TODO,Test with a real product image. If parse fails add error logging of raw text before throwing
3.3.2,Dev3,Day 3,Implement src/lib/s3.js — AWS S3 upload helper,"Create src/lib/s3.js. Import S3Client PutObjectCommand from @aws-sdk/client-s3. Import uuid v4. Init S3Client with region and credentials from env. Export async uploadToS3(buffer mimeType folder). Generate unique key as folder/uuid.ext. Send PutObjectCommand. Return public URL as https://bucket.s3.region.amazonaws.com/key.",TODO,S3 bucket must have public read enabled or use signed URLs. For hackathon public bucket is fine
3.3.3,Dev3,Day 3,Test Gemini + S3 integration with a standalone test script,"Create a test file backend/test-gemini.js. Import gradeProduct from lib/gemini.js. Load a local image file as base64. Call gradeProduct with test data. Console.log the result. Run with node test-gemini.js. Verify grade score and conditionSummary fields are present.",TODO,Delete test file before demo — do not commit API keys
3.3.4,Dev3,Day 3,Add demand signal helper function,"In src/lib/routing.js add async getDemandSignal(productId dcId prisma). Query prisma.user.count where nearestDcId=dcId AND orders.some.product.category = product.category. Return count as integer. This powers the 'X buyers near you want this' display in Return Interception and Outgrown It.",TODO,This is a proxy for real demand data — good enough for hackathon
1.4.1,Dev1,Day 4,Build SellerDashboard page — batch upload zone + processing animation,"In SellerDashboard.jsx: Top section with batch upload drop zone (large dashed box with camera icon 'Drag return photos here — up to 200 files'). On files dropped show file count badge and Enable button 'Grade X Items'. On click start animated counter: show progress bar counting from 0 to 100% with timer showing elapsed seconds. After API response show results.",TODO,Simulate 42-second feel: show progress animation for 2-3 seconds regardless of actual API speed
1.4.2,Dev1,Day 4,Build SellerDashboard results table + summary stats,"After batch grading response: Show summary cards — Total Graded: 200 Resellable: 170 Recovery: Rs.2.13L Time Saved: 10 hrs. Below show results table with columns: Item photo Grade Suggested Price Route Action. Color code rows by grade. Show [Auto-List All A/A+] and [Process All Routes] buttons at bottom.",TODO,Table rows should be expandable — click row to see AI assessment details
1.4.3,Dev1,Day 4,Build expandable row in Seller table — AI detail view,"Each table row in Seller results: click to expand. Expanded section shows: 3 thumbnails of uploaded photos. AI Assessment block: score confidence defectsFound list. Suggested price (editable input pre-filled with AI price). Route badge. Three action buttons: Accept Override Flag for Review.",TODO,Override button allows seller to change grade manually — POST /api/seller/returns/:id/override
1.4.4,Dev1,Day 4,Build SellerDashboard analytics section — return reason insights,"Below results table add Seller Analytics section. Show bar chart using Recharts BarChart: return reasons breakdown (SIZE_FIT 68% CHANGED_MIND 20% QUALITY 12%). Show insight card: 'Tip: 45% of your Kurti returns are size issues. Update your size chart to reduce returns.' Use Recharts PieChart for grade distribution.",TODO,Data comes from GET /api/seller/returns?seller_id=X analytics field in response
1.4.5,Dev1,Day 4,Build OutgrownIt page — past orders with Outgrown It button,"In OutgrownIt.jsx: Fetch GET /api/orders?user_id=X and filter to outgrownEligible=true. Show each order as a card with product image name purchase date original price. On each card show 'Outgrown It?' button in green. On click: fetch demand signal and AI price estimate. Expand card to show: demand count 'X buyers in [City] want this' AI price range Rs.X-Rs.Y List in 1 Click button.",TODO,Switch to Rahul (user-012) to see baby monitor with demand signal 47 parents
1.4.6,Dev1,Day 4,Build OutgrownIt — 1-click listing modal,"When List in 1 Click is clicked: show a simple modal. Show product name original image. Show condition selector: Like New / Good / Used. Show estimated price (editable). Show 'Confirm Listing' button. On confirm POST /api/outgrown. On success show green success card: 'Listed! Buyers in [City] will be notified.'",TODO,Modal should be minimal — condition + confirm. No re-photography needed (original Amazon images reused)
1.4.7,Dev1,Day 4,Build AdminDashboard page — full system overview,"In AdminDashboard.jsx: Fetch GET /api/admin/overview. Show top row of stat cards: Total Returns Today/Total Graded/On Marketplace/Sold/Donated/Recycled. Show Recharts PieChart for route distribution (Resell/Refurbish/Donate/Recycle). Show Recharts BarChart for grade distribution (A+ through F). Show returns table with all returns sortable by status date grade.",TODO,Admin page is for judges to see the full intelligence at a glance
1.4.8,Dev1,Day 4,Build DC Overview section in Admin page,"Below charts in AdminDashboard: show a 6-row table for each DC showing: DC name city type inventory count (AVAILABLE/SOLD). A section titled 'Cost Savings' showing: Total logistics cost old system Rs.X vs ReLoop Rs.Y savings Rs.Z. Use calculated values from stats API.",TODO,Cost savings calculation: count items * Rs440 (old) vs count * Rs147 (ReLoop avg) = savings
2.4.1,Dev2,Day 4,Implement POST /api/seller/batch-grade endpoint,"In src/routes/batchGrade.js: Accept multipart with up to 200 files and a sellerId field. Group files by product (by filename prefix or order). For each group call gradeProduct() from gemini.js. Rate limit to max 15 RPM (Gemini free tier) by adding 4 second delays between calls. Return array of {filename grade score route suggestedPrice} for all items.",TODO,"15 RPM limit means 200 items takes 200/15 * 60 = 800 seconds. For demo use max 5 images. In demo we SHOW 200 results from seed data — not actually process 200."
2.4.2,Dev2,Day 4,Implement GET /api/seller/returns?seller_id= with analytics,"In src/routes/seller.js: Fetch returns where order.product belongs to a seller (for hackathon use a fake seller_id check or just fetch all returns for user-003 as seller). Include grading. Compute analytics: returnReasonsBreakdown as count by reason. gradeDistribution as count by grade. recoveryRate as (resellable / total). Return returns array plus analytics object.",TODO,Seller persona maps to user-003 Vikram for demo — hardcode this for hackathon simplicity
